indicator_id,periodo,valor,meta,avance_porcentual,entidad,categoria,fuente_detalle
saa-05-porcentaje-de-auditores-ambientales-supe-g005-2025,2025-10,2.0,5.0,40.0,Nacional,,POA Avance - Octubre
saa-05-porcentaje-de-auditores-ambientales-supe-g005-2025,2025-11,6.0,6.0,100.0,Nacional,,POA Avance - Noviembre
saa-05-porcentaje-de-auditores-ambientales-supe-g005-2025,2025-12,3.0,6.0,50.0,Nacional,,POA Avance - Diciembre
saa-05-porcentaje-de-auditores-ambientales-supe-g005-2025,2025,63.0,63.0,100.0,Nacional,,POA Avance - Acumulado anual
sii-01-porcentaje-de-visitas-de-verificacion-co-g005-2025,2025-01,58.53,40.0,146.32,Nacional,,POA Avance - Enero
sii-01-porcentaje-de-visitas-de-verificacion-co-g005-2025,2025-02,39.66,40.0,99.15,Nacional,,POA Avance - Febrero
sii-01-porcentaje-de-visitas-de-verificacion-co-g005-2025,2025-03,57.61,40.0,144.02,Nacional,,POA Avance - Marzo
sii-01-porcentaje-de-visitas-de-verificacion-co-g005-2025,2025-04,38.0,43.0,88.37,Nacional,,POA Avance - Abril
sii-01-porcentaje-de-visitas-de-verificacion-co-g005-2025,2025-05,43.0,43.0,100.0,Nacional,,POA Avance - Mayo
sii-01-porcentaje-de-visitas-de-verificacion-co-g005-2025,2025-06,60.0,45.0,133.33,Nacional,,POA Avance - Junio
sii-01-porcentaje-de-visitas-de-verificacion-co-g005-2025,2025-07,48.0,50.0,96.0,Nacional,,POA Avance - Julio
sii-01-porcentaje-de-visitas-de-verificacion-co-g005-2025,2025-08,26.0,50.0,52.0,Nacional,,POA Avance - Agosto
sii-01-porcentaje-de-visitas-de-verificacion-co-g005-2025,2025-09,42.0,50.0,84.0,Nacional,,POA Avance - Septiembre
sii-01-porcentaje-de-visitas-de-verificacion-co-g005-2025,2025-10,38.0,55.0,69.09,Nacional,,POA Avance - Octubre
sii-01-porcentaje-de-visitas-de-verificacion-co-g005-2025,2025-11,74.0,55.0,134.55,Nacional,,POA Avance - Noviembre
sii-01-porcentaje-de-visitas-de-verificacion-co-g005-2025,2025-12,50.0,55.0,90.91,Nacional,,POA Avance - Diciembre
sii-01-porcentaje-de-visitas-de-verificacion-co-g005-2025,2025,574.8,566.0,101.55,Nacional,,POA Avance - Acumulado anual
sii-02-porcentaje-de-acciones-de-inspeccion-rea-g005-2025,2025-01,12340.0,12305.0,100.28,Nacional,,POA Avance - Enero
sii-02-porcentaje-de-acciones-de-inspeccion-rea-g005-2025,2025-02,12450.0,12575.0,99.01,Nacional,,POA Avance - Febrero
sii-02-porcentaje-de-acciones-de-inspeccion-rea-g005-2025,2025-03,12562.0,13120.0,95.75,Nacional,,POA Avance - Marzo
sii-02-porcentaje-de-acciones-de-inspeccion-rea-g005-2025,2025-04,12710.0,13280.0,95.71,Nacional,,POA Avance - Abril
sii-02-porcentaje-de-acciones-de-inspeccion-rea-g005-2025,2025-05,12975.0,13445.0,96.5,Nacional,,POA Avance - Mayo
sii-02-porcentaje-de-acciones-de-inspeccion-rea-g005-2025,2025-06,13144.0,13605.0,96.61,Nacional,,POA Avance - Junio
sii-02-porcentaje-de-acciones-de-inspeccion-rea-g005-2025,2025-07,13390.0,13765.0,97.28,Nacional,,POA Avance - Julio
sii-02-porcentaje-de-acciones-de-inspeccion-rea-g005-2025,2025-08,13853.0,13925.0,99.48,Nacional,,POA Avance - Agosto
sii-02-porcentaje-de-acciones-de-inspeccion-rea-g005-2025,2025-09,14197.0,14100.0,100.69,Nacional,,POA Avance - Septiembre
sii-02-porcentaje-de-acciones-de-inspeccion-rea-g005-2025,2025-10,14553.0,14260.0,102.05,Nacional,,POA Avance - Octubre
sii-02-porcentaje-de-acciones-de-inspeccion-rea-g005-2025,2025-11,14812.0,14420.0,102.72,Nacional,,POA Avance - Noviembre
sii-02-porcentaje-de-acciones-de-inspeccion-rea-g005-2025,2025-12,14983.0,14585.0,102.73,Nacional,,POA Avance - Diciembre
